,actor_account_id,churn_yn,survival_time,event_num,enterworld_num,levelup_num,joinparty_num,spendmoney_num,duel_num,duel_kd,partybattle_num,completechallengetoday_num,completechallengeweek_num,itemupgrade_successrate,trade_num,buyitemnowmainauction_num,guildlevelup_num,level_min,level_max,class,longest_time_between_events,faction1,faction2,targetaccountid_num,sessions_num,has_smurf_yn
21,00E1A8EB,0.00,254,49003.00,176.00,1.00,77.00,1171.00,0.00,0.00,0.00,4.00,0.00,59.50,47.00,26.00,0.00,45.00,50.00,6.00,564748.64,1.00,0.00,9.00,173.00,1.00
22,00EE61F2,1.00,21,59561.00,414.00,65.00,221.00,1480.00,29.00,1.42,172.00,13.00,0.00,0.00,1.00,97.00,0.00,1.00,50.00,5.00,265016.51,2.00,0.00,263.00,291.00,1.00
23,00F7F5CF,0.00,273+,67377.00,254.00,0.00,225.00,680.00,29.00,1.42,3.00,36.00,0.00,0.00,4.00,12.00,0.00,45.00,50.00,2.00,182929.06,2.00,0.00,167.00,209.00,1.00
24,00FB45EC,0.00,273+,3305.00,53.00,9.00,11.00,282.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,50.00,1.00,333535.86,2.00,0.00,5.00,53.00,1.00
25,00FC17FD,1.00,19,31909.00,230.00,0.00,165.00,859.00,6.00,2.00,84.00,20.00,0.00,45.33,0.00,41.00,0.00,45.00,50.00,10.00,211511.07,2.00,0.00,184.00,175.00,1.00
26,010010EB,0.00,276+,83971.00,502.00,0.00,391.00,2505.00,7.00,1.33,566.00,22.00,0.00,6.12,2.00,432.00,0.00,45.00,50.00,5.00,160894.98,1.00,0.00,690.00,404.00,1.00
27,01032B49,1.00,19,20577.00,23.00,61.00,0.00,172.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.00,43.00,3.00,205689.63,1.00,0.00,3.00,23.00,1.00
28,01180EEB,0.00,273+,97038.00,342.00,0.00,465.00,2059.00,0.00,0.00,104.00,1.00,0.00,24.61,36.00,116.00,0.00,1.00,50.00,9.00,75695.07,1.00,0.00,276.00,260.00,1.00
29,014267EC,0.00,267+,3768.00,43.00,1.00,11.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,3.00,0.00,34.00,50.00,10.00,1026414.05,2.00,0.00,3.00,36.00,1.00
30,0155A7EE,0.00,273+,46240.00,370.00,0.00,381.00,1218.00,73.00,0.92,0.00,25.00,0.00,10.25,0.00,48.00,0.00,50.00,50.00,1.00,154761.33,2.00,0.00,196.00,312.00,1.00
31,015635EC,0.00,273+,141704.00,426.00,129.00,240.00,2291.00,11.00,0.57,31.00,8.00,0.00,0.00,0.00,56.00,0.00,1.00,50.00,3.00,252936.48,2.00,0.00,90.00,330.00,1.00
32,015820FE,1.00,17,30575.00,107.00,1.00,123.00,848.00,18.00,0.50,0.00,5.00,0.00,0.00,5.00,55.00,0.00,50.00,50.00,3.00,603996.68,2.00,0.00,54.00,88.00,1.00
33,01679B62,0.00,36,39774.00,243.00,0.00,286.00,1218.00,16.00,4.33,112.00,14.00,0.00,40.50,80.00,135.00,0.00,50.00,50.00,2.00,334696.35,2.00,0.00,251.00,201.00,1.00
34,01AAC5B1,0.00,273+,48061.00,306.00,1.00,237.00,1137.00,9.00,1.25,0.00,11.00,0.00,84.00,6.00,51.00,0.00,50.00,50.00,5.00,187091.77,2.00,0.00,84.00,258.00,1.00
35,01C03A3E,1.00,18,186912.00,709.00,10.00,510.00,3431.00,86.00,2.07,0.00,24.00,0.00,138.00,12.00,379.00,0.00,1.00,50.00,5.00,154823.09,2.00,0.00,263.00,577.00,1.00
36,01C45DEC,1.00,20,5615.00,20.00,0.00,5.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,45.00,50.00,8.00,137537.07,2.00,0.00,4.00,20.00,1.00
37,0205A717,0.00,69,3059.00,10.00,1.00,21.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,28.00,50.00,9.00,606388.99,1.00,0.00,2.00,11.00,1.00
38,020F663F,1.00,19,13380.00,41.00,39.00,18.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,1.00,42.00,6.00,303528.30,2.00,0.00,5.00,41.00,1.00
39,021014FD,1.00,15,19182.00,35.00,70.00,32.00,274.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,7.00,0.00,1.00,50.00,9.00,285649.77,2.00,0.00,15.00,33.00,1.00
40,0216AD21,1.00,18,134635.00,511.00,44.00,396.00,1718.00,8.00,3.00,0.00,57.00,0.00,92.50,5.00,97.00,0.00,17.00,50.00,5.00,237973.29,2.00,0.00,61.00,423.00,1.00
41,022E7E7A,1.00,21,1742.00,2.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,50.00,50.00,1.00,944.21,2.00,0.00,3.00,2.00,0.00
42,024197F3,0.00,272+,35374.00,387.00,0.00,208.00,1039.00,14.00,1.00,316.00,5.00,0.00,4.65,26.00,171.00,0.00,29.00,50.00,3.00,435638.04,2.00,0.00,244.00,318.00,1.00
43,0252CFA7,0.00,273+,46555.00,547.00,21.00,356.00,1150.00,34.00,1.12,391.00,28.00,0.00,0.00,1.00,2.00,0.00,2.00,50.00,5.00,252004.63,2.00,0.00,447.00,446.00,1.00
44,026EF040,1.00,21,27708.00,165.00,1.00,102.00,602.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,59.00,0.00,50.00,50.00,3.00,256233.43,2.00,0.00,70.00,135.00,1.00
45,0270A04D,0.00,273+,55622.00,276.00,0.00,245.00,1031.00,18.00,0.80,0.00,36.00,0.00,0.00,2.00,22.00,0.00,50.00,50.00,3.00,158287.67,1.00,0.00,34.00,223.00,0.00
46,027CED6D,0.00,275+,28998.00,52.00,0.00,4.00,470.00,3.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,19.00,50.00,6.00,499211.43,2.00,0.00,7.00,50.00,1.00
47,02883F45,0.00,273+,56213.00,336.00,1.00,208.00,962.00,123.00,1.93,6.00,26.00,0.00,0.00,20.00,44.00,0.00,50.00,50.00,5.00,324920.50,2.00,0.00,135.00,266.00,0.00
48,02A0AA0B,1.00,17,64752.00,185.00,149.00,117.00,1349.00,1.00,0.00,0.00,3.00,0.00,76.00,7.00,74.00,0.00,1.00,50.00,8.00,493601.55,1.00,0.00,53.00,163.00,1.00
49,02A4ABE4,0.00,274+,41196.00,337.00,13.00,217.00,874.00,0.00,0.00,0.00,6.00,0.00,9.60,8.00,96.00,0.00,1.00,50.00,1.00,330591.03,1.00,0.00,115.00,222.00,1.00
50,02EBA555,1.00,20,23315.00,233.00,0.00,150.00,352.00,57.00,0.78,55.00,19.00,0.00,0.00,1.00,13.00,0.00,20.00,50.00,8.00,277285.84,2.00,0.00,120.00,187.00,1.00
51,02FAB1EF,0.00,86,42877.00,287.00,2.00,178.00,1167.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,118.00,0.00,33.00,50.00,7.00,587206.52,1.00,0.00,48.00,237.00,1.00
52,030114EC,0.00,273+,62414.00,217.00,1.00,116.00,1009.00,15.00,2.00,0.00,30.00,0.00,0.00,66.00,13.00,0.00,1.00,50.00,1.00,460849.81,2.00,0.00,39.00,205.00,1.00
53,0302FEDF,0.00,256+,18537.00,133.00,0.00,207.00,273.00,0.00,0.00,21.00,6.00,0.00,3.67,6.00,44.00,0.00,50.00,50.00,10.00,566371.16,2.00,0.00,42.00,100.00,1.00
54,030386E6,0.00,238,,,,,,,,,,,,,,,,,,,,,,,
55,0304437A,0.00,135,188182.00,927.00,1.00,833.00,3074.00,11.00,1.20,4.00,38.00,0.00,0.00,10.00,213.00,0.00,49.00,50.00,10.00,99794.99,2.00,0.00,125.00,756.00,1.00
56,03137CFD,0.00,94,28743.00,130.00,60.00,13.00,840.00,9.00,0.29,15.00,1.00,0.00,0.00,0.00,13.00,0.00,1.00,50.00,7.00,430171.97,2.00,0.00,20.00,117.00,1.00
57,031E8DEE,0.00,261+,104466.00,938.00,61.00,434.00,2717.00,18.00,0.80,0.00,19.00,0.00,0.00,2.00,182.00,0.00,1.00,50.00,6.00,81793.41,1.00,0.00,77.00,759.00,1.00
58,032FCAF6,1.00,25,1506.00,26.00,0.00,9.00,20.00,10.00,9.00,11.00,0.00,0.00,0.00,0.00,1.00,0.00,50.00,50.00,2.00,1224282.56,2.00,0.00,57.00,25.00,0.00
59,03378B3A,0.00,273+,196537.00,227.00,0.00,578.00,3015.00,0.00,0.00,6.00,33.00,0.00,0.00,14.00,71.00,0.00,50.00,50.00,6.00,65085.76,1.00,0.00,271.00,192.00,1.00
60,033F42F8,0.00,273+,181205.00,692.00,14.00,493.00,4879.00,32.00,1.00,0.00,6.00,0.00,1.99,98.00,1475.00,0.00,1.00,50.00,1.00,49322.02,1.00,0.00,140.00,547.00,1.00
61,0341F57F,1.00,21,3515.00,14.00,10.00,2.00,21.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,50.00,3.00,873929.82,1.00,0.00,3.00,12.00,1.00
62,034C24EB,1.00,18,101204.00,255.00,130.00,282.00,1169.00,28.00,0.56,0.00,18.00,0.00,0.00,26.00,106.00,0.00,1.00,50.00,6.00,149454.91,2.00,0.00,86.00,197.00,1.00
63,03625494,0.00,273+,,,,,,,,,,,,,,,,,,,,,,,
64,036DB130,1.00,20,79951.00,364.00,54.00,255.00,1237.00,9.00,2.00,89.00,25.00,0.00,0.00,0.00,125.00,0.00,1.00,50.00,8.00,99446.76,2.00,0.00,154.00,293.00,1.00
65,037E261F,0.00,149,12766.00,50.00,14.00,32.00,152.00,12.00,0.50,0.00,5.00,0.00,0.00,3.00,1.00,0.00,37.00,50.00,6.00,1520002.90,1.00,0.00,15.00,40.00,1.00
66,03991E26,0.00,269+,,,,,,,,,,,,,,,,,,,,,,,
67,039C51EE,1.00,23,17621.00,170.00,0.00,113.00,276.00,0.00,0.00,0.00,13.00,0.00,0.00,5.00,7.00,0.00,12.00,50.00,3.00,384321.21,1.00,0.00,7.00,145.00,1.00
68,039DFB34,1.00,18,144.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,5.00,533779.67,2.00,9.00,1.00,7.00,0.00
69,03A690EF,0.00,107,179509.00,1674.00,4.00,783.00,8060.00,76.00,2.04,267.00,64.00,0.00,0.00,20.00,601.00,0.00,50.00,50.00,1.00,44592.94,1.00,0.00,605.00,1415.00,1.00
70,03AA8038,1.00,19,42162.00,128.00,52.00,59.00,614.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,1.00,0.00,4.00,50.00,3.00,337897.99,1.00,0.00,19.00,106.00,1.00
71,03BFF4ED,0.00,244,26423.00,49.00,60.00,18.00,942.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,36.00,0.00,1.00,50.00,6.00,415939.37,2.00,0.00,4.00,43.00,1.00
72,03E14E7F,1.00,19,44603.00,232.00,0.00,105.00,828.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,21.00,0.00,45.00,50.00,10.00,139106.58,2.00,0.00,11.00,202.00,1.00
73,03F80BF4,0.00,259,11731.00,80.00,0.00,78.00,434.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,77.00,0.00,50.00,50.00,1.00,762032.39,2.00,0.00,23.00,64.00,1.00
74,03FDD6EE,0.00,173,101816.00,578.00,28.00,525.00,2513.00,77.00,0.67,127.00,27.00,0.00,1.15,233.00,572.00,0.00,1.00,50.00,9.00,161368.04,2.00,0.00,331.00,441.00,1.00
75,040390F5,0.00,114,246511.00,308.00,1.00,205.00,1353.00,9.00,2.00,268.00,6.00,0.00,59.00,0.00,103.00,0.00,50.00,50.00,9.00,81486.13,1.00,0.00,459.00,225.00,1.00
76,040AF8FB,0.00,63,3836.00,4.00,0.00,2.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,50.00,50.00,9.00,655517.54,1.00,0.00,3.00,5.00,0.00
77,042548EE,1.00,21,25185.00,176.00,0.00,166.00,1105.00,4.00,0.00,164.00,3.00,0.00,6.82,10.00,57.00,0.00,31.00,50.00,5.00,332651.02,1.00,0.00,272.00,158.00,1.00
78,042B33F5,1.00,20,4161.00,56.00,0.00,19.00,63.00,0.00,0.00,16.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,1024869.40,2.00,0.00,16.00,53.00,1.00
79,0448D42F,0.00,273+,106757.00,424.00,1.00,461.00,2428.00,57.00,0.97,91.00,27.00,0.00,238.00,20.00,116.00,0.00,50.00,50.00,1.00,155341.60,2.00,0.00,438.00,325.00,1.00
80,0461AFFB,1.00,21,22966.00,24.00,62.00,27.00,600.00,4.00,0.33,0.00,1.00,0.00,0.00,12.00,17.00,0.00,1.00,50.00,3.00,173740.88,1.00,0.00,8.00,23.00,1.00
81,04694C14,1.00,21,6135.00,31.00,7.00,0.00,141.00,7.00,0.40,0.00,0.00,0.00,0.00,0.00,3.00,0.00,40.00,50.00,7.00,1061755.97,2.00,0.00,9.00,28.00,1.00
82,046C4409,1.00,19,928.00,6.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,5.00,615177.37,1.00,0.00,2.00,7.00,0.00
83,048236F6,0.00,140,14081.00,82.00,1.00,52.00,274.00,0.00,0.00,5.00,8.00,0.00,7.67,0.00,18.00,0.00,45.00,50.00,8.00,1626456.25,1.00,0.00,13.00,54.00,1.00
84,04831E82,0.00,273+,,,,,,,,,,,,,,,,,,,,,,,
85,04871600,0.00,184,,,,,,,,,,,,,,,,,,,,,,,
86,0488D53D,0.00,102,74888.00,344.00,53.00,228.00,1204.00,19.00,0.27,0.00,7.00,0.00,0.00,12.00,48.00,0.00,1.00,50.00,2.00,874512.83,1.00,0.00,54.00,277.00,1.00
87,04983840,0.00,47,,,,,,,,,,,,,,,,,,,,,,,
88,04B7E0EC,1.00,21,31206.00,162.00,2.00,125.00,742.00,6.00,5.00,33.00,10.00,0.00,0.00,8.00,39.00,0.00,50.00,50.00,8.00,309954.36,2.00,0.00,215.00,141.00,1.00
89,04BBB9F4,0.00,94,141881.00,477.00,0.00,321.00,1797.00,12.00,0.00,0.00,56.00,0.00,56.83,7.00,107.00,0.00,8.00,50.00,8.00,163538.87,2.00,0.00,54.00,397.00,1.00
90,04C77735,0.00,27,47038.00,1140.00,0.00,472.00,1439.00,843.00,2.27,0.00,32.00,0.00,0.00,1.00,92.00,0.00,50.00,50.00,2.00,601214.06,1.00,0.00,356.00,920.00,1.00
91,04EA8BA9,1.00,21,2040.00,22.00,0.00,4.00,27.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,48.00,50.00,10.00,873215.84,2.00,0.00,3.00,22.00,1.00
92,04F49F8A,1.00,21,4202.00,42.00,2.00,23.00,22.00,7.00,0.17,0.00,2.00,0.00,0.00,0.00,0.00,0.00,21.00,50.00,3.00,1969322.55,1.00,0.00,9.00,37.00,1.00
93,04F65978,0.00,273+,163513.00,881.00,1.00,201.00,2476.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,150.00,0.00,50.00,50.00,6.00,77798.34,2.00,0.00,26.00,813.00,1.00
94,04FF70F5,1.00,20,55681.00,369.00,74.00,228.00,887.00,52.00,1.89,79.00,26.00,0.00,0.00,1.00,52.00,0.00,1.00,50.00,3.00,266317.52,1.00,0.00,236.00,312.00,1.00
95,0502ABF8,0.00,273+,107742.00,594.00,61.00,235.00,3586.00,12.00,2.00,0.00,53.00,0.00,0.00,0.00,164.00,0.00,1.00,50.00,3.00,138102.09,1.00,0.00,57.00,496.00,1.00
96,05139AEF,0.00,273+,62378.00,232.00,10.00,271.00,1287.00,0.00,0.00,0.00,3.00,0.00,9.42,42.00,112.00,0.00,24.00,50.00,8.00,174190.98,1.00,0.00,35.00,193.00,1.00
97,0517A9F4,0.00,248,3528.00,60.00,1.00,6.00,101.00,12.00,1.40,0.00,0.00,0.00,0.00,7.00,2.00,0.00,1.00,50.00,6.00,425813.29,1.00,0.00,17.00,51.00,1.00
98,051AA4EB,0.00,275+,80820.00,724.00,0.00,431.00,2237.00,110.00,2.55,525.00,20.00,0.00,105.00,41.00,45.00,0.00,50.00,50.00,5.00,292700.90,1.00,0.00,524.00,637.00,1.00
99,05465B15,0.00,273+,105090.00,320.00,7.00,267.00,1761.00,32.00,1.13,52.00,28.00,0.00,141.50,12.00,84.00,0.00,1.00,50.00,3.00,349731.87,1.00,0.00,235.00,247.00,1.00
100,05514736,1.00,18,,,,,,,,,,,,,,,,,,,,,,,
101,055AA402,0.00,274+,64423.00,464.00,15.00,301.00,748.00,15.00,0.88,115.00,28.00,0.00,0.00,0.00,24.00,0.00,1.00,50.00,9.00,88017.95,2.00,0.00,313.00,355.00,1.00
102,055C0AC0,0.00,273+,37463.00,341.00,0.00,197.00,784.00,36.00,1.57,115.00,28.00,0.00,0.00,21.00,32.00,0.00,50.00,50.00,3.00,71915.96,1.00,0.00,236.00,284.00,1.00
103,055DD765,1.00,18,1431.00,30.00,1.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,50.00,1.00,1882813.22,1.00,0.00,3.00,31.00,1.00
104,056151F0,0.00,273+,77784.00,598.00,1.00,311.00,1068.00,0.00,0.00,0.00,55.00,0.00,0.00,1.00,41.00,0.00,45.00,50.00,3.00,137461.38,1.00,0.00,32.00,498.00,1.00
105,056A574C,0.00,103,7249.00,27.00,1.00,12.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,8.00,1543302.98,2.00,0.00,6.00,27.00,1.00
106,056D4BE2,0.00,127,16017.00,72.00,11.00,92.00,694.00,6.00,5.00,0.00,2.00,0.00,11.00,25.00,79.00,0.00,49.00,50.00,6.00,601784.23,2.00,0.00,37.00,66.00,1.00
107,058909FF,0.00,273+,66910.00,469.00,34.00,181.00,2953.00,1.00,0.00,0.00,21.00,0.00,0.00,0.00,20.00,0.00,31.00,50.00,5.00,152016.66,1.00,0.00,51.00,380.00,1.00
108,05909783,1.00,22,,,,,,,,,,,,,,,,,,,,,,,
109,05BC098A,0.00,53,6673.00,8.00,2.00,6.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,0.00,50.00,50.00,7.00,887716.11,2.00,0.00,9.00,9.00,0.00
110,05C5EEF9,1.00,20,6626.00,28.00,23.00,11.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,1.00,50.00,7.00,1720043.14,2.00,0.00,2.00,24.00,1.00
111,05E638F6,1.00,25,22523.00,177.00,0.00,129.00,676.00,10.00,0.43,0.00,0.00,0.00,3.83,7.00,53.00,0.00,50.00,50.00,7.00,665644.73,1.00,0.00,25.00,139.00,1.00
112,05ECF18E,1.00,20,92527.00,384.00,80.00,338.00,1572.00,40.00,0.90,65.00,19.00,0.00,0.00,12.00,110.00,0.00,1.00,50.00,3.00,89275.01,2.00,0.00,200.00,278.00,1.00
113,05F6C4EF,0.00,273+,81630.00,402.00,2.00,337.00,3084.00,46.00,1.19,10.00,39.00,0.00,110.50,4.00,41.00,0.00,28.00,50.00,5.00,125539.58,2.00,0.00,168.00,303.00,1.00
114,05FBDF66,0.00,273+,75274.00,457.00,60.00,425.00,1557.00,70.00,1.92,110.00,18.00,0.00,0.00,19.00,161.00,0.00,1.00,50.00,2.00,205186.09,2.00,0.00,290.00,380.00,1.00
115,05FC19D8,1.00,18,9128.00,35.00,6.00,28.00,164.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,10.00,0.00,38.00,50.00,8.00,1093277.58,1.00,0.00,6.00,28.00,1.00
116,0602B6EA,0.00,272+,50835.00,134.00,27.00,125.00,1091.00,16.00,1.00,8.00,9.00,0.00,0.00,6.00,42.00,0.00,35.00,50.00,2.00,159510.72,1.00,0.00,88.00,124.00,1.00
117,0604C7A8,0.00,93,84193.00,1072.00,0.00,586.00,2296.00,195.00,0.86,98.00,88.00,0.00,0.00,4.00,86.00,0.00,50.00,50.00,5.00,137883.33,1.00,0.00,565.00,845.00,1.00
118,060C1BF7,1.00,20,1414.00,10.00,1.00,3.00,24.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,34.00,50.00,9.00,22577.51,1.00,0.00,4.00,9.00,1.00
119,060CADDC,0.00,271+,43640.00,216.00,1.00,227.00,955.00,0.00,0.00,0.00,27.00,0.00,0.00,16.00,42.00,0.00,45.00,50.00,6.00,319659.74,2.00,0.00,25.00,184.00,1.00
120,061D5BC5,1.00,20,1882.00,27.00,0.00,4.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,2.00,933721.48,1.00,0.00,2.00,26.00,1.00
121,0624ADA6,0.00,263+,52577.00,111.00,1.00,165.00,1041.00,3.00,0.00,0.00,27.00,0.00,0.00,13.00,20.00,0.00,50.00,50.00,3.00,313057.35,1.00,0.00,47.00,92.00,1.00
122,062C8C03,1.00,17,37301.00,111.00,32.00,79.00,607.00,0.00,0.00,0.00,3.00,0.00,0.00,7.00,28.00,0.00,1.00,50.00,9.00,615688.63,1.00,0.00,14.00,109.00,1.00
123,064EC1FB,0.00,261,14452.00,140.00,0.00,60.00,265.00,18.00,2.00,24.00,9.00,0.00,21.00,0.00,10.00,0.00,50.00,50.00,6.00,527968.81,1.00,0.00,76.00,119.00,1.00
124,064F62EE,1.00,19,25712.00,259.00,7.00,112.00,793.00,0.00,0.00,21.00,11.00,0.00,18.67,0.00,84.00,0.00,39.00,50.00,2.00,176933.58,2.00,0.00,63.00,217.00,1.00
125,065C744D,0.00,25,25418.00,45.00,47.00,9.00,366.00,17.00,0.70,0.00,0.00,0.00,0.00,0.00,31.00,0.00,1.00,48.00,8.00,170441.66,1.00,0.00,27.00,39.00,0.00
126,0662BDFE,0.00,274+,97832.00,422.00,62.00,330.00,3346.00,30.00,0.50,44.00,33.00,0.00,7.04,11.00,239.00,0.00,1.00,50.00,3.00,159860.62,1.00,0.00,209.00,366.00,1.00
127,06A2CB4B,0.00,273+,107265.00,468.00,0.00,265.00,5291.00,0.00,0.00,0.00,33.00,0.00,0.00,1.00,1284.00,0.00,50.00,50.00,1.00,99364.51,1.00,0.00,34.00,336.00,1.00
128,06B492FC,0.00,31,21705.00,78.00,40.00,10.00,592.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00,0.00,1.00,50.00,10.00,231518.63,1.00,0.00,6.00,77.00,1.00
129,06CDBD5A,0.00,275+,6866.00,27.00,2.00,21.00,137.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,49.00,50.00,6.00,766450.96,1.00,0.00,8.00,22.00,1.00
