,actor_account_id,churn_yn,survival_time,event_num,enterworld_num,levelup_num,joinparty_num,spendmoney_num,duel_num,duel_kd,partybattle_num,completechallengetoday_num,completechallengeweek_num,itemupgrade_successrate,trade_num,buyitemnowmainauction_num,guildlevelup_num,level_min,level_max,class,longest_time_between_events,faction1,faction2,targetaccountid_num,sessions_num,masteryexp,duelpoints_max,partybattlepoints_max,duel_rating_score_max,money_max,gathering_num,has_smurf_yn,average_money_spent_per_session,duels_per_session,partybattles_per_session,average_time_between_events,average_time_between_logins,reason_getmoney,reason_spendmoney
15,00C172F0,0.00,65,5674.00,26.00,2.00,14.00,199.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,14.00,0.00,33.00,50.00,9.00,621758.21,2.00,0.00,10.00,22.00,3813953.00,0.00,0.00,0.00,49372870.00,0.00,1.00,3707610.38,0.00,0.00,305.73,66713.34,101.00,522.00
16,00CBE7F7,1.00,21,115754.00,738.00,0.00,546.00,1427.00,0.00,0.00,84.00,31.00,0.00,3.56,42.00,118.00,0.00,50.00,50.00,5.00,141302.80,1.00,0.00,190.00,608.00,212964869.00,0.00,4976.00,0.00,502624641.00,0.00,0.00,1353387.62,0.00,0.11,29.09,4561.45,101.00,560.00
17,00CE46EF,1.00,21,40037.00,148.00,9.00,78.00,1272.00,16.00,0.60,2.00,6.00,0.00,0.00,1.00,68.00,0.00,31.00,50.00,6.00,695258.12,2.00,0.00,42.00,125.00,12443003.00,1004.00,42.00,144544.00,4420235.00,194.00,1.00,129652.71,0.11,0.01,78.01,21059.70,101.00,510.00
18,00D81497,0.00,115,25.00,2.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,7.00,347.85,1.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,9309.00,0.00,1.00,102.00,0.00,0.00,34.90,340.94,107.00,510.00
19,00D81DCB,0.00,273+,54253.00,403.00,19.00,239.00,1014.00,0.00,0.00,17.00,5.00,0.00,17.17,9.00,52.00,0.00,42.00,50.00,1.00,164955.78,2.00,0.00,240.00,357.00,228417171.00,0.00,1785.00,0.00,165963616.00,0.00,1.00,951854.94,0.00,0.04,63.73,8576.83,101.00,557.00
20,00DDAEEA,0.00,273+,43657.00,529.00,7.00,264.00,1075.00,105.00,0.84,82.00,44.00,0.00,0.00,0.00,11.00,0.00,50.00,50.00,1.00,206927.73,1.00,0.00,210.00,427.00,186374160.00,26851.00,21653.00,151435.00,63275830.00,14.00,1.00,102384.77,0.20,0.16,77.79,6419.58,101.00,560.00
21,00E1A8EB,0.00,254,49003.00,176.00,1.00,77.00,1171.00,0.00,0.00,0.00,4.00,0.00,59.50,47.00,26.00,0.00,45.00,50.00,6.00,564748.64,1.00,0.00,9.00,173.00,111270469.00,0.00,0.00,0.00,57228785.00,0.00,1.00,1333525.94,0.00,0.00,65.29,18151.39,101.00,567.00
22,00EE61F2,1.00,21,59561.00,414.00,65.00,221.00,1480.00,29.00,1.42,172.00,13.00,0.00,0.00,1.00,97.00,0.00,1.00,50.00,5.00,265016.51,2.00,0.00,263.00,291.00,27939420.00,2238.00,2090.00,147303.00,36928788.00,57.00,1.00,613439.12,0.07,0.42,55.12,7926.26,101.00,510.00
23,00F7F5CF,0.00,273+,67377.00,254.00,0.00,225.00,680.00,29.00,1.42,3.00,36.00,0.00,0.00,4.00,12.00,0.00,45.00,50.00,2.00,182929.06,2.00,0.00,167.00,209.00,28431018.00,3391.00,1325.00,150235.00,229417301.00,0.00,1.00,297639.77,0.11,0.01,50.42,13353.31,101.00,560.00
24,00FB45EC,0.00,273+,3305.00,53.00,9.00,11.00,282.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,50.00,1.00,333535.86,2.00,0.00,5.00,53.00,76931604.00,0.00,0.00,0.00,38387172.00,0.00,1.00,578707.66,0.00,0.00,858.79,53549.59,101.00,557.00
25,00FC17FD,1.00,19,31909.00,230.00,0.00,165.00,859.00,6.00,2.00,84.00,20.00,0.00,45.33,0.00,41.00,0.00,45.00,50.00,10.00,211511.07,2.00,0.00,184.00,175.00,27000193.00,12890.00,11446.00,143188.00,25367577.00,0.00,1.00,957869.70,0.03,0.37,105.74,14635.62,101.00,557.00
26,010010EB,0.00,276+,83971.00,502.00,0.00,391.00,2505.00,7.00,1.33,566.00,22.00,0.00,6.12,2.00,432.00,0.00,45.00,50.00,5.00,160894.98,1.00,0.00,690.00,404.00,159669619.00,2111.00,27216.00,141133.00,92560046.00,18.00,1.00,1791610.13,0.01,1.13,36.22,6044.18,101.00,531.00
27,01032B49,1.00,19,20577.00,23.00,61.00,0.00,172.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.00,43.00,3.00,205689.63,1.00,0.00,3.00,23.00,0.00,0.00,0.00,0.00,7740856.00,0.00,1.00,425246.65,0.00,0.00,49.19,43900.40,101.00,506.00
28,01180EEB,0.00,273+,97038.00,342.00,0.00,465.00,2059.00,0.00,0.00,104.00,1.00,0.00,24.61,36.00,116.00,0.00,1.00,50.00,9.00,75695.07,1.00,0.00,276.00,260.00,133679007.00,0.00,8203.00,0.00,410217993.00,64.00,1.00,6476445.94,0.00,0.30,35.70,10116.98,101.00,571.00
29,014267EC,0.00,267+,3768.00,43.00,1.00,11.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,3.00,0.00,34.00,50.00,10.00,1026414.05,2.00,0.00,3.00,36.00,8955507.00,0.00,0.00,0.00,5284325.00,0.00,1.00,121686.42,0.00,0.00,643.98,56429.22,101.00,553.00
30,0155A7EE,0.00,273+,46240.00,370.00,0.00,381.00,1218.00,73.00,0.92,0.00,25.00,0.00,10.25,0.00,48.00,0.00,50.00,50.00,1.00,154761.33,2.00,0.00,196.00,312.00,161470914.00,12432.00,0.00,150460.00,341187682.00,136.00,1.00,1754231.54,0.20,0.00,73.15,9113.60,101.00,560.00
31,015635EC,0.00,273+,141704.00,426.00,129.00,240.00,2291.00,11.00,0.57,31.00,8.00,0.00,0.00,0.00,56.00,0.00,1.00,50.00,3.00,252936.48,2.00,0.00,90.00,330.00,19396178.00,750.00,1474.00,140047.00,21320232.00,116.00,1.00,102525.06,0.03,0.07,21.73,7226.47,101.00,506.00
32,015820FE,1.00,17,30575.00,107.00,1.00,123.00,848.00,18.00,0.50,0.00,5.00,0.00,0.00,5.00,55.00,0.00,50.00,50.00,3.00,603996.68,2.00,0.00,54.00,88.00,19241955.00,955.00,0.00,139218.00,246857598.00,38.00,1.00,5763968.10,0.17,0.00,105.16,29925.39,101.00,560.00
33,01679B62,0.00,36,39774.00,243.00,0.00,286.00,1218.00,16.00,4.33,112.00,14.00,0.00,40.50,80.00,135.00,0.00,50.00,50.00,2.00,334696.35,2.00,0.00,251.00,201.00,100266532.00,5489.00,3016.00,154505.00,551449605.00,45.00,1.00,27652534.86,0.07,0.46,82.81,13494.49,101.00,510.00
34,01AAC5B1,0.00,273+,48061.00,306.00,1.00,237.00,1137.00,9.00,1.25,0.00,11.00,0.00,84.00,6.00,51.00,0.00,50.00,50.00,5.00,187091.77,2.00,0.00,84.00,258.00,67032067.00,8535.00,0.00,146269.00,257321872.00,125.00,1.00,2186496.65,0.03,0.00,70.18,11019.35,101.00,567.00
35,01C03A3E,1.00,18,186912.00,709.00,10.00,510.00,3431.00,86.00,2.07,0.00,24.00,0.00,138.00,12.00,379.00,0.00,1.00,50.00,5.00,154823.09,2.00,0.00,263.00,577.00,311724126.00,5785.00,0.00,167749.00,1202213083.00,36.00,1.00,6831114.34,0.12,0.00,18.45,4801.60,101.00,510.00
36,01C45DEC,1.00,20,5615.00,20.00,0.00,5.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,45.00,50.00,8.00,137537.07,2.00,0.00,4.00,20.00,45763408.00,0.00,0.00,0.00,11569141.00,0.00,1.00,49831.90,0.00,0.00,154.74,43430.37,101.00,510.00
37,0205A717,0.00,69,3059.00,10.00,1.00,21.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,28.00,50.00,9.00,606388.99,1.00,0.00,2.00,11.00,26403984.00,0.00,0.00,0.00,38264359.00,3.00,1.00,1495159.00,0.00,0.00,1037.90,316891.89,101.00,560.00
38,020F663F,1.00,19,13380.00,41.00,39.00,18.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,1.00,42.00,6.00,303528.30,2.00,0.00,5.00,41.00,0.00,0.00,0.00,0.00,997785.00,0.00,1.00,10042.93,0.00,0.00,87.32,28284.82,101.00,506.00
39,021014FD,1.00,15,19182.00,35.00,70.00,32.00,274.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,7.00,0.00,1.00,50.00,9.00,285649.77,2.00,0.00,15.00,33.00,1508037.00,0.00,0.00,0.00,16922913.00,0.00,1.00,580910.23,0.00,0.00,90.69,49422.66,101.00,506.00
40,0216AD21,1.00,18,134635.00,511.00,44.00,396.00,1718.00,8.00,3.00,0.00,57.00,0.00,92.50,5.00,97.00,0.00,17.00,50.00,5.00,237973.29,2.00,0.00,61.00,423.00,78694775.00,20378.00,0.00,141943.00,352047874.00,0.00,1.00,5108560.49,0.02,0.00,25.48,6709.88,101.00,560.00
41,022E7E7A,1.00,21,1742.00,2.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,50.00,50.00,1.00,944.21,2.00,0.00,3.00,2.00,3784372.00,0.00,0.00,0.00,1966843.00,0.00,0.00,55908.00,0.00,0.00,5.89,2089.46,101.00,506.00
42,024197F3,0.00,272+,35374.00,387.00,0.00,208.00,1039.00,14.00,1.00,316.00,5.00,0.00,4.65,26.00,171.00,0.00,29.00,50.00,3.00,435638.04,2.00,0.00,244.00,318.00,166855396.00,12917.00,8126.00,155000.00,841628845.00,0.00,1.00,2094975.38,0.04,0.82,96.08,8740.08,101.00,510.00
43,0252CFA7,0.00,273+,46555.00,547.00,21.00,356.00,1150.00,34.00,1.12,391.00,28.00,0.00,0.00,1.00,2.00,0.00,2.00,50.00,5.00,252004.63,2.00,0.00,447.00,446.00,173554959.00,15773.00,19963.00,149092.00,145378622.00,0.00,1.00,83851.86,0.06,0.71,73.16,6223.89,101.00,560.00
44,026EF040,1.00,21,27708.00,165.00,1.00,102.00,602.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,59.00,0.00,50.00,50.00,3.00,256233.43,2.00,0.00,70.00,135.00,13826506.00,27.00,0.00,130000.00,29220231.00,0.00,1.00,726638.25,0.01,0.00,124.84,20925.49,101.00,506.00
45,0270A04D,0.00,273+,55622.00,276.00,0.00,245.00,1031.00,18.00,0.80,0.00,36.00,0.00,0.00,2.00,22.00,0.00,50.00,50.00,3.00,158287.67,1.00,0.00,34.00,223.00,91515606.00,6469.00,0.00,149059.00,48302650.00,33.00,0.00,339207.41,0.07,0.00,60.77,12232.50,101.00,560.00
46,027CED6D,0.00,275+,28998.00,52.00,0.00,4.00,470.00,3.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,19.00,50.00,6.00,499211.43,2.00,0.00,7.00,50.00,55002442.00,1083.00,0.00,141349.00,189230327.00,0.00,1.00,3035888.94,0.06,0.00,110.20,61193.67,101.00,560.00
47,02883F45,0.00,273+,56213.00,336.00,1.00,208.00,962.00,123.00,1.93,6.00,26.00,0.00,0.00,20.00,44.00,0.00,50.00,50.00,5.00,324920.50,2.00,0.00,135.00,266.00,117400231.00,7479.00,445.00,171500.00,70075931.00,0.00,0.00,513796.54,0.37,0.02,60.75,10154.57,101.00,560.00
48,02A0AA0B,1.00,17,64752.00,185.00,149.00,117.00,1349.00,1.00,0.00,0.00,3.00,0.00,76.00,7.00,74.00,0.00,1.00,50.00,8.00,493601.55,1.00,0.00,53.00,163.00,9564665.00,0.00,0.00,130000.00,206472052.00,0.00,1.00,4968178.21,0.01,0.00,51.30,17955.18,101.00,506.00
49,02A4ABE4,0.00,274+,41196.00,337.00,13.00,217.00,874.00,0.00,0.00,0.00,6.00,0.00,9.60,8.00,96.00,0.00,1.00,50.00,1.00,330591.03,1.00,0.00,115.00,222.00,142299264.00,0.00,0.00,0.00,102654172.00,0.00,1.00,1249810.15,0.00,0.00,80.79,9848.42,101.00,510.00
50,02EBA555,1.00,20,23315.00,233.00,0.00,150.00,352.00,57.00,0.78,55.00,19.00,0.00,0.00,1.00,13.00,0.00,20.00,50.00,8.00,277285.84,2.00,0.00,120.00,187.00,23124507.00,15904.00,1036.00,148012.00,35027862.00,15.00,1.00,181478.44,0.24,0.24,133.86,13390.77,101.00,560.00
51,02FAB1EF,0.00,86,42877.00,287.00,2.00,178.00,1167.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,118.00,0.00,33.00,50.00,7.00,587206.52,1.00,0.00,48.00,237.00,32881890.00,0.00,0.00,0.00,184386736.00,45.00,1.00,1811725.36,0.00,0.00,78.78,11769.04,101.00,560.00
52,030114EC,0.00,273+,62414.00,217.00,1.00,116.00,1009.00,15.00,2.00,0.00,30.00,0.00,0.00,66.00,13.00,0.00,1.00,50.00,1.00,460849.81,2.00,0.00,39.00,205.00,191346863.00,18935.00,0.00,146353.00,361725906.00,18.00,1.00,1344544.41,0.07,0.00,55.45,15795.75,101.00,506.00
53,0302FEDF,0.00,256+,18537.00,133.00,0.00,207.00,273.00,0.00,0.00,21.00,6.00,0.00,3.67,6.00,44.00,0.00,50.00,50.00,10.00,566371.16,2.00,0.00,42.00,100.00,40733639.00,0.00,944.00,0.00,222386653.00,0.00,1.00,825170.26,0.00,0.16,178.09,24733.15,101.00,560.00
54,030386E6,0.00,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0304437A,0.00,135,188182.00,927.00,1.00,833.00,3074.00,11.00,1.20,4.00,38.00,0.00,0.00,10.00,213.00,0.00,49.00,50.00,10.00,99794.99,2.00,0.00,125.00,756.00,54379098.00,886.00,255.00,147433.00,511353952.00,111.00,1.00,4348854.54,0.01,0.00,18.26,3704.61,101.00,560.00
56,03137CFD,0.00,94,28743.00,130.00,60.00,13.00,840.00,9.00,0.29,15.00,1.00,0.00,0.00,0.00,13.00,0.00,1.00,50.00,7.00,430171.97,2.00,0.00,20.00,117.00,9925221.00,305.00,542.00,141607.00,8744044.00,126.00,1.00,88581.97,0.07,0.12,114.73,25363.94,101.00,510.00
57,031E8DEE,0.00,261+,104466.00,938.00,61.00,434.00,2717.00,18.00,0.80,0.00,19.00,0.00,0.00,2.00,182.00,0.00,1.00,50.00,6.00,81793.41,1.00,0.00,77.00,759.00,171176347.00,1083.00,0.00,136621.00,55704701.00,0.00,1.00,561413.97,0.02,0.00,33.24,3693.70,101.00,510.00
58,032FCAF6,1.00,25,1506.00,26.00,0.00,9.00,20.00,10.00,9.00,11.00,0.00,0.00,0.00,0.00,1.00,0.00,50.00,50.00,2.00,1224282.56,2.00,0.00,57.00,25.00,107807329.00,12342.00,3408.00,130000.00,1735959.00,0.00,0.00,12328.00,0.38,0.42,1890.06,109361.40,101.00,506.00
59,03378B3A,0.00,273+,196537.00,227.00,0.00,578.00,3015.00,0.00,0.00,6.00,33.00,0.00,0.00,14.00,71.00,0.00,50.00,50.00,6.00,65085.76,1.00,0.00,271.00,192.00,413323333.00,0.00,2087.00,0.00,502321342.00,0.00,1.00,3143165.50,0.00,0.03,17.63,15088.24,101.00,510.00
60,033F42F8,0.00,273+,181205.00,692.00,14.00,493.00,4879.00,32.00,1.00,0.00,6.00,0.00,1.99,98.00,1475.00,0.00,1.00,50.00,1.00,49322.02,1.00,0.00,140.00,547.00,110103730.00,7929.00,0.00,150086.00,318531324.00,0.00,1.00,4306282.51,0.05,0.00,19.14,5008.20,101.00,510.00
61,0341F57F,1.00,21,3515.00,14.00,10.00,2.00,21.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,50.00,3.00,873929.82,1.00,0.00,3.00,12.00,664822.00,22.00,0.00,130000.00,12721395.00,0.00,1.00,3760.71,0.07,0.00,360.10,89808.16,101.00,506.00
62,034C24EB,1.00,18,101204.00,255.00,130.00,282.00,1169.00,28.00,0.56,0.00,18.00,0.00,0.00,26.00,106.00,0.00,1.00,50.00,6.00,149454.91,2.00,0.00,86.00,197.00,18665433.00,1050.00,0.00,149059.00,28899412.00,0.00,1.00,471385.28,0.11,0.00,22.41,8859.64,101.00,506.00
63,03625494,0.00,273+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,036DB130,1.00,20,79951.00,364.00,54.00,255.00,1237.00,9.00,2.00,89.00,25.00,0.00,0.00,0.00,125.00,0.00,1.00,50.00,8.00,99446.76,2.00,0.00,154.00,293.00,28093178.00,2184.00,1534.00,146302.00,38530893.00,23.00,1.00,447069.66,0.02,0.24,42.13,9250.47,101.00,522.00
65,037E261F,0.00,149,12766.00,50.00,14.00,32.00,152.00,12.00,0.50,0.00,5.00,0.00,0.00,3.00,1.00,0.00,37.00,50.00,6.00,1520002.90,1.00,0.00,15.00,40.00,20959990.00,6675.00,0.00,143674.00,3798920.00,0.00,1.00,2255.90,0.24,0.00,195.17,49739.42,101.00,506.00
66,03991E26,0.00,269+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,039C51EE,1.00,23,17621.00,170.00,0.00,113.00,276.00,0.00,0.00,0.00,13.00,0.00,0.00,5.00,7.00,0.00,12.00,50.00,3.00,384321.21,1.00,0.00,7.00,145.00,58037724.00,0.00,0.00,0.00,28766616.00,0.00,1.00,77958.96,0.00,0.00,184.05,19072.13,101.00,560.00
68,039DFB34,1.00,18,144.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,5.00,533779.67,2.00,9.00,1.00,7.00,0.00,0.00,0.00,0.00,1012.00,0.00,0.00,66.83,0.00,0.00,4958.64,118965.29,152.00,506.00
69,03A690EF,0.00,107,179509.00,1674.00,4.00,783.00,8060.00,76.00,2.04,267.00,64.00,0.00,0.00,20.00,601.00,0.00,50.00,50.00,1.00,44592.94,1.00,0.00,605.00,1415.00,120608247.00,4264.00,10396.00,154645.00,507352019.00,1254.00,1.00,2321663.91,0.05,0.16,19.27,2064.57,101.00,510.00
70,03AA8038,1.00,19,42162.00,128.00,52.00,59.00,614.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,1.00,0.00,4.00,50.00,3.00,337897.99,1.00,0.00,19.00,106.00,12896710.00,0.00,0.00,0.00,10821110.00,15.00,1.00,322581.16,0.00,0.00,74.93,24679.58,101.00,506.00
71,03BFF4ED,0.00,244,26423.00,49.00,60.00,18.00,942.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,36.00,0.00,1.00,50.00,6.00,415939.37,2.00,0.00,4.00,43.00,28881185.00,0.00,0.00,0.00,125352017.00,133.00,1.00,5707903.18,0.00,0.00,75.53,40551.48,101.00,510.00
72,03E14E7F,1.00,19,44603.00,232.00,0.00,105.00,828.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,21.00,0.00,45.00,50.00,10.00,139106.58,2.00,0.00,11.00,202.00,50774721.00,0.00,0.00,0.00,27471707.00,69.00,1.00,140909.19,0.00,0.00,76.49,14698.67,101.00,510.00
73,03F80BF4,0.00,259,11731.00,80.00,0.00,78.00,434.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,77.00,0.00,50.00,50.00,1.00,762032.39,2.00,0.00,23.00,64.00,81484742.00,0.00,0.00,0.00,2138292883.00,0.00,1.00,31793430.14,0.00,0.00,280.27,40983.10,101.00,522.00
74,03FDD6EE,0.00,173,101816.00,578.00,28.00,525.00,2513.00,77.00,0.67,127.00,27.00,0.00,1.15,233.00,572.00,0.00,1.00,50.00,9.00,161368.04,2.00,0.00,331.00,441.00,112215203.00,3100.00,4599.00,153229.00,130135839.00,56.00,1.00,6407296.52,0.13,0.22,34.02,5991.64,101.00,574.00
75,040390F5,0.00,114,246511.00,308.00,1.00,205.00,1353.00,9.00,2.00,268.00,6.00,0.00,59.00,0.00,103.00,0.00,50.00,50.00,9.00,81486.13,1.00,0.00,459.00,225.00,114133153.00,7077.00,6685.00,150394.00,208258802.00,0.00,1.00,1511891.31,0.03,0.87,13.97,11078.22,101.00,557.00
76,040AF8FB,0.00,63,3836.00,4.00,0.00,2.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,50.00,50.00,9.00,655517.54,1.00,0.00,3.00,5.00,14106012.00,0.00,0.00,0.00,1972596.00,10.00,0.00,777757.25,0.00,0.00,186.30,177444.15,101.00,510.00
77,042548EE,1.00,21,25185.00,176.00,0.00,166.00,1105.00,4.00,0.00,164.00,3.00,0.00,6.82,10.00,57.00,0.00,31.00,50.00,5.00,332651.02,1.00,0.00,272.00,158.00,59991114.00,762.00,8001.00,141985.00,515938236.00,148.00,1.00,6942996.20,0.02,0.93,127.36,18187.79,101.00,531.00
78,042B33F5,1.00,20,4161.00,56.00,0.00,19.00,63.00,0.00,0.00,16.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,1024869.40,2.00,0.00,16.00,53.00,19246851.00,0.00,861.00,0.00,4407934.00,0.00,1.00,18512.46,0.00,0.29,740.09,54987.04,101.00,567.00
79,0448D42F,0.00,273+,106757.00,424.00,1.00,461.00,2428.00,57.00,0.97,91.00,27.00,0.00,238.00,20.00,116.00,0.00,50.00,50.00,1.00,155341.60,2.00,0.00,438.00,325.00,60155505.00,11274.00,8585.00,147430.00,299319405.00,112.00,1.00,2164089.12,0.13,0.21,32.35,8129.86,101.00,510.00
80,0461AFFB,1.00,21,22966.00,24.00,62.00,27.00,600.00,4.00,0.33,0.00,1.00,0.00,0.00,12.00,17.00,0.00,1.00,50.00,3.00,173740.88,1.00,0.00,8.00,23.00,8447656.00,215.00,0.00,130000.00,7392243.00,0.00,1.00,542770.17,0.17,0.00,40.73,38961.21,101.00,522.00
